Title,Budget,DomesticTotalGross,Director,Rating,Runtime,ReleaseDate
The Hunger Games: Catching Fire,130000000.0,424668047,Francis Lawrence,PG-13,146,2013-11-22 00:00:00
Iron Man 3,200000000.0,409013994,Shane Black,PG-13,129,2013-05-03 00:00:00
Frozen,150000000.0,400738009,"Chris Buck, Jennifer Lee",PG,108,2013-11-22 00:00:00
Despicable Me 2,76000000.0,368061265,"Pierre Coffin, Chris Renaud",PG,98,2013-07-03 00:00:00
Man of Steel,225000000.0,291045518,Zack Snyder,PG-13,143,2013-06-14 00:00:00
Gravity,100000000.0,274092705,Alfonso Cuaron,PG-13,91,2013-10-04 00:00:00
Monsters University,,268492764,Dan Scanlon,G,107,2013-06-21 00:00:00
The Hobbit: The Desolation of Smaug,,258366855,Peter Jackson,PG-13,161,2013-12-13 00:00:00
Fast & Furious 6,160000000.0,238679850,Justin Lin,PG-13,130,2013-05-24 00:00:00
Oz The Great and Powerful,215000000.0,234911825,Sam Raimi,PG,127,2013-03-08 00:00:00
Star Trek Into Darkness,190000000.0,228778661,J.J. Abrams,PG-13,123,2013-05-16 00:00:00
Thor: The Dark World,170000000.0,206362140,Alan Taylor,PG-13,120,2013-11-08 00:00:00
World War Z,190000000.0,202359711,Marc Forster,PG-13,116,2013-06-21 00:00:00
The Croods,135000000.0,187168425,"Kirk De Micco, Chris Sanders",PG,98,2013-03-22 00:00:00
The Heat,43000000.0,159582188,Paul Feig,R,117,2013-06-28 00:00:00
We're the Millers,37000000.0,150394119,Rawson Marshall Thurber,R,110,2013-08-07 00:00:00
American Hustle,40000000.0,150117807,David O. Russell,R,138,2013-12-13 00:00:00
The Great Gatsby (2013),105000000.0,144840419,Baz Luhrmann,PG-13,143,2013-05-10 00:00:00
The Conjuring,20000000.0,137400141,James Wan,R,112,2013-07-19 00:00:00
Identity Thief,35000000.0,134506920,Seth Gordon,R,111,2013-02-08 00:00:00
Grown Ups 2,80000000.0,133668525,Dennis Dugan,PG-13,101,2013-07-12 00:00:00
The Wolverine,120000000.0,132556852,James Mangold,PG-13,126,2013-07-26 00:00:00
Anchorman 2: The Legend Continues,50000000.0,125168368,Adam McKay,PG-13,119,2013-12-18 00:00:00
Lone Survivor,40000000.0,125095601,Peter Berg,R,121,2013-12-25 00:00:00
G.I. Joe: Retaliation,130000000.0,122523060,Jon Chu,PG-13,99,2013-03-28 00:00:00
Cloudy with a Chance of Meatballs 2,78000000.0,119793567,,PG,95,2013-09-27 00:00:00
Now You See Me,75000000.0,117723989,Louis Leterrier,PG-13,116,2013-05-31 00:00:00
The Wolf of Wall Street,100000000.0,116900694,Martin Scorsese,R,180,2013-12-25 00:00:00
Lee Daniels' The Butler,30000000.0,116632095,Lee Daniels,PG-13,132,2013-08-16 00:00:00
The Hangover Part III,103000000.0,112200072,Todd Phillips,R,100,2013-05-23 00:00:00
Epic,100000000.0,107518682,Chris Wedge,PG,102,2013-05-24 00:00:00
